"tester","testName","year","mth","day","hour","min","sec","partNo","partRef","age","gender","trialNo","trialType","trialVar","accu","dotPr","touchTime","respTime","trialTime","animShown","prpt.location","validity_basedonRT","reason.invalid","terminated.early.","reason.terminated","held.back.","override.software","Reason.overwritten","retain.RT.as..5000ms","respTime.1","median.time.inh.","med..Time.prpt","trialVar.1","accu.1","accu.prpt","accu.inh","coder","notes","med..time.inh.","Coder","med..Time.inh","median.prpt.time","median.inh.time","inh","prpt","coder.initials","accuracy.prpt","accuracy.inh","X","X.1","trialVariant","avgDotPressed","avgAccuracy","noOfResps","id"
"alexandra","24m2h",2024,6,8,20,56,49,2533,102,21,"female",24,"tpl","prpt",1,0,1507,1507,1507,"bus","",1,"","","","","","",1,1507,NA,1507,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,56,55,2533,102,21,"female",25,"tpl","prpt",1,0,4836,4836,4836,"apple","",1,"","","","","","",1,4836,NA,4836,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,57,4,2533,102,21,"female",26,"tpl","inhb",0,0,2163,2163,2163,"elephant4","",1,"","","","","","",1,2163,NA,NA,"inhb",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,57,11,2533,102,21,"female",27,"tpl","prpt",1,0,9838,9970,9970,"owl","",1,"","","","","","",0,9970,NA,NA,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,57,25,2533,102,21,"female",28,"tpl","prpt",1,0,2765,2831,2831,"bus","",1,"","","","","","",1,2831,NA,2831,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,57,32,2533,102,21,"female",29,"tpl","prpt",1,0,1036,1036,1036,"elephant2","",1,"","","","","","",1,1036,NA,1036,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,57,38,2533,102,21,"female",30,"tpl","inhb",0,0,4683,4684,4684,"elephant2","",1,"","","","","","",1,4684,NA,NA,"inhb",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,57,49,2533,102,21,"female",31,"tpl","inhb",1,0,3246,3812,3812,"bus","",1,"","","","","","",1,3812,NA,NA,"inhb",1,"","1","","",3812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,57,57,2533,102,21,"female",32,"tpl","prpt",1,0,1996,1996,1996,"bus","",1,"","","","","","",1,1996,NA,1996,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,22,19,41,18,2552,104,21,"female",1,"prr","",1,0,7872,7872,7872,"elephant2","right",1,"none","none","none","none","","",0,7872,NA,NA,"",1,"","",NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"104"
"alexandra","24m2h",2024,6,22,19,41,32,2552,104,21,"female",1,"prr","",1,0,8331,8331,8331,"flower","",1,"","","","","","",0,8331,NA,NA,"",1,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"104"
